Name,GamesPlayed,Assists,AssistPoints,2ptAssists,3ptAssists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,Corner3Assists,Arc3Assists,season,season_type
ATL,82,23.731707317073173,57.17073170731707,14.024390243902438,9.707317073170731,8.475609756097562,2.4390243902439024,3.109756097560976,3.365853658536585,6.3414634146341475,2017-18,regular season
CHI,82,23.451219512195124,56.26829268292683,14.085365853658535,9.365853658536585,8.365853658536585,2.914634146341464,2.804878048780488,2.1829268292682933,7.182926829268293,2017-18,regular season
MIL,82,23.231707317073173,54.19512195121951,15.5,7.73170731707317,10.329268292682928,2.609756097560976,2.5609756097560976,2.609756097560976,5.121951219512195,2017-18,regular season
ORL,82,23.42682926829268,55.609756097560975,14.670731707317074,8.75609756097561,9.073170731707316,3.0,2.5975609756097557,2.0,6.7560975609756095,2017-18,regular season
IND,82,22.182926829268293,51.76829268292683,14.780487804878051,7.402439024390245,8.207317073170731,2.5365853658536586,4.036585365853658,2.256097560975609,5.146341463414634,2017-18,regular season
PHI,82,27.085365853658534,64.65853658536585,16.597560975609756,10.48780487804878,10.98780487804878,2.451219512195122,3.1585365853658534,1.8536585365853657,8.634146341463415,2017-18,regular season
PHX,82,21.256097560975608,50.17073170731707,13.597560975609756,7.6585365853658525,9.414634146341463,2.231707317073171,1.951219512195122,2.1341463414634148,5.524390243902439,2017-18,regular season
UTA,82,22.42682926829268,53.5609756097561,13.719512195121949,8.707317073170731,9.780487804878051,1.9390243902439024,2.0,3.414634146341464,5.2926829268292686,2017-18,regular season
MIN,82,22.695121951219512,52.012195121951216,16.073170731707318,6.621951219512195,9.231707317073173,3.5853658536585367,3.256097560975609,2.048780487804878,4.573170731707316,2017-18,regular season
BKN,82,23.670731707317074,58.0609756097561,12.951219512195122,10.719512195121949,9.207317073170731,2.6463414634146343,1.0975609756097562,2.7439024390243905,7.975609756097561,2017-18,regular season
POR,82,19.5,46.426829268292686,12.073170731707316,7.426829268292682,7.646341463414633,2.2804878048780486,2.1463414634146343,1.8780487804878048,5.548780487804878,2017-18,regular season
SAC,82,21.560975609756103,50.47560975609756,14.207317073170733,7.353658536585367,7.8414634146341475,3.182926829268293,3.182926829268293,2.0121951219512195,5.341463414634147,2017-18,regular season
SAS,82,22.78048780487805,53.17073170731707,15.170731707317074,7.609756097560974,8.170731707317072,3.365853658536585,3.634146341463415,2.304878048780488,5.3048780487804885,2017-18,regular season
OKC,82,21.341463414634145,51.609756097560975,12.414634146341465,8.926829268292684,8.78048780487805,1.9146341463414636,1.7195121951219512,2.7439024390243905,6.182926829268293,2017-18,regular season
TOR,82,24.32926829268293,58.29268292682927,14.69512195121951,9.634146341463415,10.146341463414632,2.7926829268292686,1.7560975609756098,3.1463414634146343,6.487804878048781,2017-18,regular season
DET,82,22.78048780487805,55.17073170731707,13.170731707317074,9.609756097560977,8.097560975609756,2.6341463414634148,2.4390243902439024,2.6341463414634148,6.975609756097561,2017-18,regular season
CHA,82,21.585365853658534,50.76829268292683,13.98780487804878,7.597560975609755,8.158536585365852,3.0,2.8292682926829267,1.5243902439024388,6.073170731707318,2017-18,regular season
BOS,82,22.463414634146343,54.23170731707317,13.158536585365852,9.304878048780488,7.7073170731707314,2.463414634146341,2.9878048780487805,2.6219512195121952,6.682926829268293,2017-18,regular season
CLE,82,23.36585365853659,56.52439024390244,13.573170731707316,9.792682926829269,9.878048780487807,1.6707317073170733,2.024390243902439,3.256097560975609,6.536585365853658,2017-18,regular season
NOP,82,26.768292682926827,62.47560975609756,17.829268292682926,8.939024390243903,11.414634146341465,3.902439024390244,2.5121951219512195,2.6341463414634148,6.304878048780488,2017-18,regular season
DAL,82,22.65853658536585,55.036585365853654,12.939024390243905,9.719512195121949,7.7073170731707314,2.1463414634146343,3.0853658536585367,2.341463414634146,7.378048780487805,2017-18,regular season
DEN,82,25.109756097560968,59.9390243902439,15.390243902439025,9.719512195121949,10.402439024390244,3.256097560975609,1.7317073170731707,2.158536585365854,7.560975609756098,2017-18,regular season
GSW,82,29.292682926829272,67.63414634146342,20.243902439024392,9.048780487804876,12.158536585365852,3.524390243902439,4.560975609756096,1.8658536585365852,7.182926829268293,2017-18,regular season
HOU,82,21.54878048780488,53.65853658536585,10.98780487804878,10.560975609756095,9.621951219512193,0.8170731707317073,0.5487804878048781,3.634146341463415,6.926829268292682,2017-18,regular season
LAC,82,22.34146341463415,51.5609756097561,15.46341463414634,6.878048780487805,11.402439024390244,2.3780487804878048,1.6829268292682926,1.9390243902439024,4.939024390243904,2017-18,regular season
LAL,82,23.768292682926827,56.207317073170735,15.097560975609756,8.670731707317072,10.768292682926829,2.475609756097561,1.8536585365853657,1.9390243902439024,6.7317073170731705,2017-18,regular season
MIA,82,22.707317073170728,55.414634146341456,12.707317073170733,10.0,8.621951219512193,2.1707317073170733,1.9146341463414636,3.0487804878048776,6.951219512195122,2017-18,regular season
NYK,82,23.31707317073171,53.76829268292683,16.182926829268293,7.134146341463414,9.317073170731707,3.365853658536585,3.5,1.9146341463414636,5.219512195121951,2017-18,regular season
MEM,82,21.54878048780488,50.634146341463406,14.01219512195122,7.536585365853658,8.841463414634148,2.0609756097560976,3.109756097560976,1.7439024390243902,5.7926829268292686,2017-18,regular season
WAS,82,25.18292682926829,59.09756097560975,16.451219512195124,8.731707317073171,8.365853658536585,4.353658536585366,3.731707317073171,2.0,6.7317073170731705,2017-18,regular season
